p1,p1y,p2,p2y,p3,p3y,p4,p4y,p5,p5y
69,1.0,78,47.856,82,196.838,87,0.8739999999999999,91,1.0
103,1.0,110,67.039,112,233.276,120,0.6829999999999999,124,1.0
134,1.0,140,56.975,144,233.765,150,0.73,156,1.0
166,1.0,174,59.442,179,227.722,176,0.2479999999999999,186,1.0
205,1.0,211,79.459,216,190.552,220,0.4949999999999999,225,1.0
236,1.0,242,71.554,247,221.863,252,0.8729999999999999,257,1.0
268,1.0,274,63.018,278,225.586,283,0.9279999999999999,287,1.0
299,1.0,305,53.959,309,174.927,314,0.3579999999999999,316,1.0
333,1.0,341,85.342,345,185.364,350,0.5289999999999999,354,1.0
365,1.0,373,84.842,376,208.008,382,0.5249999999999999,388,1.0
398,1.0,405,64.05,409,205.75,414,0.7869999999999999,419,1.0
430,1.0,437,55.942,441,210.144,447,0.5959999999999999,451,1.0
464,1.0,473,56.563,478,138.733,472,0.5549999999999999,485,1.0
502,1.0,509,76.355,513,172.119,519,0.6869999999999998,523,1.0
534,1.0,543,66.797,547,198.73,553,0.818,558,1.0
568,1.0,576,61.287,580,210.083,586,0.6409999999999999,590,1.0
603,1.0,610,52.163,614,183.96,621,0.3859999999999999,622,1.0
642,1.0,650,69.044,653,181.763,659,0.4999999999999999,663,1.0
677,1.0,684,83.859,687,231.628,694,0.6619999999999999,701,1.0
711,1.0,718,69.714,719,233.582,727,0.9209999999999999,730,1.0
742,1.0,749,60.859,752,216.614,760,0.6079999999999999,765,1.0
777,1.0,787,56.201,792,208.557,786,0.4909999999999999,798,1.0
819,1.0,825,96.982,827,194.275,835,0.5799999999999998,841,1.0
853,1.0,859,68.983,863,211.243,869,0.7909999999999999,873,1.0
885,1.0,892,63.457,895,221.985,901,0.724,905,1.0
920,1.0,927,54.695,931,183.228,929,0.34599999999999986,939,1.0
961,1.0,972,64.583,972,137.634,970,0.32199999999999995,979,1.0
